,0,1,2
0,.common.account.AccountPickerActivity,2,2
1,com.canva.app.editor.home.HomeActivity,2,0
2,com.canva.app.editor.home.HomeActivity,20,1
3,com.canva.app.editor.categorytree.CategoryTreeActivity,20,1
4,com.canva.app.editor.home.HomeActivity,12,0
5,com.canva.createwizard.feature.CreateWizardActivity,14,1
6,com.canva.createwizard.feature.CreateWizardActivity,7,0
7,com.canva.createwizard.feature.CreateWizardActivity,8,0
8,com.canva.createwizard.feature.CreateWizardActivity,9,0
9,com.canva.app.editor.home.HomeActivity,9,0
10,com.canva.app.editor.home.HomeActivity,14,1
11,com.android.internal.app.ChooserActivity,14,0
12,com.canva.app.editor.home.HomeActivity,14,0
13,com.canva.app.editor.home.HomeActivity,19,1
14,com.canva.app.editor.home.HomeActivity,16,0
15,com.canva.app.editor.home.HomeActivity,5,6
16,com.canva.app.editor.home.HomeActivity,5,1
17,com.canva.app.editor.home.HomeActivity,6,0
18,.WebViewBrowserActivity,6,0
19,com.canva.app.editor.home.HomeActivity,18,1
20,com.canva.app.editor.home.HomeActivity,15,0
21,com.canva.app.editor.home.HomeActivity,21,1
22,com.canva.app.editor.home.HomeActivity,20,21
23,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,20,1
24,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,3,0
25,com.canva.premiumtemplates.feature.paywall.PremiumTemplatesPaywallActivity,6,0
26,com.canva.app.editor.home.HomeActivity,3,0
27,com.canva.app.editor.categorytree.CategoryTreeActivity,12,0
28,com.canva.app.editor.editor.EditorActivity,18,1
29,com.canva.app.editor.editor.EditorActivity,10,0
30,com.canva.app.editor.home.HomeActivity,10,0
31,com.canva.app.editor.home.HomeActivity,34,1
32,com.canva.app.editor.home.HomeActivity,26,1
33,com.canva.app.editor.home.HomeActivity,18,0
34,com.canva.app.editor.home.HomeActivity,39,1
35,com.canva.app.editor.home.HomeActivity,17,1
36,com.android.internal.app.ChooserActivity,16,0
37,com.canva.app.editor.home.HomeActivity,17,0
38,com.canva.app.editor.home.HomeActivity,15,1
39,com.canva.app.editor.home.HomeActivity,16,1
40,com.canva.app.editor.editor.EditorActivity,26,1
41,com.canva.app.editor.home.HomeActivity,11,0
42,com.canva.app.editor.home.HomeActivity,20,0
43,com.canva.app.editor.home.HomeActivity,22,1
44,com.android.internal.app.ChooserActivity,17,0
45,com.canva.app.editor.editor.EditorActivity,17,0
46,com.canva.app.editor.editor.EditorActivity,11,0
47,com.canva.app.editor.home.HomeActivity,31,1
48,com.canva.app.editor.editor.EditorActivity,3,0
49,com.android.internal.app.ChooserActivity,3,0
50,com.canva.app.editor.editor.EditorActivity,22,0
51,com.canva.app.editor.editor.EditorActivity,7,0
52,com.canva.app.editor.editor.EditorActivity,16,0
53,com.canva.magicresize.MagicResizeActivity,11,0
54,com.canva.magicresize.MagicResizeActivity,8,0
55,com.canva.magicresize.MagicResizeActivity,9,0
56,com.canva.app.editor.editor.EditorActivity,8,0
57,com.canva.createwizard.feature.CreateWizardActivity,20,1
58,com.canva.app.editor.home.HomeActivity,8,0
59,com.canva.team.feature.management.TeamManagementActivity,10,0
60,com.canva.team.feature.management.TeamManagementActivity,3,0
61,com.canva.app.editor.home.HomeActivity,7,0
62,com.google.android.finsky.billing.acquire.BottomSheetUiBuilderHostActivity,3,0
63,com.canva.app.editor.home.HomeActivity,19,0
64,com.canva.app.editor.editor.EditorActivity,19,0
65,.WebViewBrowserActivity,2,0
66,com.android.internal.app.ChooserActivity,18,0
67,com.canva.app.editor.home.HomeActivity,27,1
