,0,1
1,-98.7208194732666,16
2,-149.03296637535095,19
3,-204.787127494812,23
4,-277.99437141418457,28
5,-317.76720666885376,28
6,-363.8325266838074,31
7,-404.336594581604,32
8,-444.6222302913666,32
9,-482.8519854545593,32
10,-511.04556226730347,33
11,-539.487361907959,33
12,-570.4491076469421,33
13,-597.6496748924255,33
14,-633.8182094097137,33
15,-679.6261191368103,34
16,-712.3866100311279,34
17,-748.6946935653687,34
18,-788.6101951599121,35
19,-821.9618699550629,35
20,-856.2517869472504,35
21,-896.0951254367828,35
22,-919.8478038311005,35
23,-959.982367515564,35
24,-996.3363709449768,35
25,-1033.6749758720398,35
26,-1070.7679409980774,35
27,-1106.177775144577,35
28,-1141.334790945053,35
29,-1173.1219201087952,37
30,-1211.0657312870026,37
